"","date","hour","avg_level","max_level","count"
"1","2019-05-01",2,11.3333333333333,18,9
"2","2019-05-01",3,17.5454545454545,34,11
"3","2019-05-01",4,16.9090909090909,36,11
"4","2019-05-01",5,16.3333333333333,32,12
"5","2019-05-01",6,18.8333333333333,32,12
"6","2019-05-01",7,18.6666666666667,26,12
"7","2019-05-01",8,17.9166666666667,29,12
"8","2019-05-01",9,20.3333333333333,37,12
"9","2019-05-01",10,21.5,34,12
"10","2019-05-02",13,24.6666666666667,39,12
"11","2019-05-02",14,28.0833333333333,45,12
"12","2019-05-02",15,22.75,38,12
"13","2019-05-02",16,17.5833333333333,30,12
"14","2019-05-02",17,13.5,24,12
"15","2019-05-02",18,16.1818181818182,26,11
"16","2019-05-02",19,17.4545454545455,30,11
"17","2019-05-02",20,16.7272727272727,47,11
"18","2019-05-02",21,19.3636363636364,42,11
"19","2019-05-02",22,19.6666666666667,56,12
"20","2019-05-02",23,21,93,12
"21","2019-05-03",2,17.8888888888889,34,9
"22","2019-05-03",3,19.4166666666667,47,12
"23","2019-05-03",4,21.1666666666667,33,12
"24","2019-05-03",5,25.3333333333333,43,12
"25","2019-05-03",6,23,37,12
"26","2019-05-03",7,26.3333333333333,37,12
"27","2019-05-03",8,27.4166666666667,37,12
"28","2019-05-03",9,31.6666666666667,47,12
"29","2019-05-03",10,31.5833333333333,45,12
"30","2019-05-03",11,36,49,12
"31","2019-05-03",12,32.1666666666667,59,12
"32","2019-05-03",13,31.75,54,12
"33","2019-05-03",14,26.9166666666667,38,12
"34","2019-05-03",15,27.0909090909091,36,11
"35","2019-05-03",16,26.75,33,12
"36","2019-05-03",17,25.4545454545455,37,11
"37","2019-05-03",21,22.5,30,12
"38","2019-05-03",22,27.9166666666667,55,12
"39","2019-05-03",23,34,49,12
"40","2019-05-04",2,43.4,60,10
"41","2019-05-04",3,42.6666666666667,58,12
"42","2019-05-04",4,47.1666666666667,65,12
"43","2019-05-04",5,45.6666666666667,67,12
"44","2019-05-04",6,45.3333333333333,63,12
"45","2019-05-04",7,42.8333333333333,58,12
"46","2019-05-04",8,47.6666666666667,59,12
"47","2019-05-04",9,50.1,68,10
"48","2019-05-04",10,51.9090909090909,71,11
"49","2019-05-04",11,51.7272727272727,79,11
"50","2019-05-04",12,53.25,75,12
"51","2019-05-04",13,42.3333333333333,53,12
"52","2019-05-04",14,36.3636363636364,42,11
"53","2019-05-04",15,38,83,12
"54","2019-05-04",16,34.75,75,12
"55","2019-05-04",17,30.4166666666667,41,12
"56","2019-05-04",18,32.5,48,12
"57","2019-05-04",19,34.5,45,10
"58","2019-05-04",20,32.3333333333333,40,12
"59","2019-05-04",21,32.3636363636364,42,11
"60","2019-05-04",22,30.7272727272727,38,11
"61","2019-05-04",23,28.6363636363636,42,11
"62","2019-05-05",2,40.5,57,10
"63","2019-05-05",3,42.6666666666667,55,12
"64","2019-05-05",4,42.5833333333333,59,12
"65","2019-05-05",5,36.8333333333333,46,12
"66","2019-05-05",6,37.1666666666667,50,12
"67","2019-05-05",7,38.5,46,12
"68","2019-05-05",8,44.1666666666667,63,12
"69","2019-05-05",9,46.9166666666667,70,12
"70","2019-05-05",10,45.75,76,12
"71","2019-05-05",11,51.7272727272727,96,11
"72","2019-05-05",12,53.6363636363636,94,11
"73","2019-05-05",13,46.9090909090909,73,11
"74","2019-05-05",14,33.3636363636364,54,11
"75","2019-05-05",15,30.1818181818182,35,11
"76","2019-05-05",16,29.3333333333333,39,12
